id_primarne_sifre,turbo_p_n,model_key,viecle_ON_NO,car_make,car_model,engine,year,datum_kreiranja,razred_sifri,aktivna_neaktivna,datum_deaktivacije,datum_azuriranja,unesena_sifra,unesena_ref_sifra
7,1144800018-1,HP48,D20TCI-1500148ZJ35-X20151,JAC,Pick Up,JE493,,2024-11-29,2,True,,2024-12-03,True,True
8,1146800012,4DD3,,,2.5L,,,2024-11-29,2,True,,2024-12-03,True,True
9,1150-970-0001,B1G,28210-48728210-48701,Hyundai,E-Mighty / E-County,F-Engine,2011,2024-11-29,2,True,,2024-12-03,True,True
10,1152800013-1,JP48,5409003810001,,,,,2024-11-29,2,True,,2024-12-03,True,True
11,1152800014-1,HP50,1044100FA300XZ,,,,,2024-11-29,2,True,,2024-12-03,True,True
12,1155-970-0001,BV55,320/06177,JCB,4.8 TD,444 / 448,2010,2024-11-29,2,True,,2024-12-03,True,True
13,12328700,GTDI12V,H6BG-6K682-A6BG-6K682-ACBG-6K682-H6BG-6K682-G800013014380,Ford,Focus MK4 1.0T,B7DA EcoBoost,2020,2024-11-29,2,True,,2024-12-03,True,True
14,1255-970-0001,S200G,5340.1118010,JSC,Industrial Engine 4.44L,YaMZ 534,2011,2024-11-29,2,True,,2024-12-03,True,True
15,1255-971-0001,S200G,5347.1118010,JSC,Truck 4.44L,YaMZ 5347,2014,2024-11-29,2,True,,2024-12-03,True,True
16,1258-970-0001,S200G,836773011,SISU,Industrial engine,49CWA,2006,2024-11-29,2,True,,2024-12-03,True,True
17,1261-970-0001,S2A,3740960699,Mercedes-Benz,,OM366LA Euro 1,1996,2024-11-29,2,True,,2024-12-03,True,True
18,1263-970-0001,B2UV,150105-00094,Doosan,Excavtor,DL08,2011,2024-11-29,2,True,,2024-12-03,True,True
19,1263-980-0001,B2UV,RE556982,John Deere,,,2014-12,2024-11-29,2,True,,2024-12-03,True,True
20,1263-988-0001,B2UV,1850493C9876116C9681102C1881102C9881102C9310720R91,International,Truck 7.6 TD,MAXXFORCE DT466 1326,2007,2024-11-29,2,True,,2024-12-03,True,True
21,1263-990-0001,B2UV,1832666C9876116C9176116C1876116C9876116C9476116C1876116C9881104C9181104C92,International,Truck 7.6 TD,MAXXFORCE DT466 1326,2007,2024-11-29,2,True,,2024-12-03,True,True
22,1264-197-0001,K26-R2S,51.09100-7702,MAN,Truck 4.6 TD,D0834LFL51 Euro 4,2006,2024-11-29,2,True,,2024-12-03,True,True
23,1264-970-0001,S200W,35242124F,VM,Marine,MR704LH,2006,2024-11-29,2,True,,2024-12-03,True,True
24,1272-970-0001,S200G,04505496,Deutz,Industrial engine/Truck,TCD2013L4-4V,2011-01,2024-11-29,2,True,,2024-12-03,True,True
25,1273-970-0001,B2G-R3S,11658506382,BMW,5 / 7 / X5 / X6 / M550d / 750d 3.0 TD,N57D30S1 LP Stage,2011,2024-11-29,2,True,,2024-12-03,True,True
26,1274-970-0001,S200,836867731,SISU,Industrial Engine,66CTA,2006,2024-11-29,2,True,,2024-12-03,True,True
27,1280-970-0001,B2UG,51.09100-7904,MAN,Bus,D2066LUH Euro 6,2011,2024-12-04,2,True,,,True,False
28,1283-970-0001,B3G,1004237715,,,,,2024-12-04,2,True,,,True,False
29,1346800001,JP50,C02607301,,,,,2024-12-04,2,True,,,True,False
30,1350810001-1,JEP50,1016500GD190,JAC,Kowloon Bus / Ruifeng M5 2.0L,HF4GA3,2015,2024-12-04,2,True,,,True,False
31,1376-970-0018,S300G,VG1093110001,CNHTC,,615.92/93 Euro 3,,2024-12-04,2,True,,,True,False
32,1376-970-0020,S300G,VG1062110001,CNHTC,,615.62 Euro 2,,2024-12-04,2,True,,,True,False
33,1378-970-0001,S300,DV2.032.04.0.00,Kirloskar,Industrial engine/Built-in engine,,2011-01,2024-12-04,2,True,,,True,False
34,1380-970-0001,S300,5010550795,Renault,Truck 11.2L,MIDR062356 B41,2006,2024-12-04,2,True,,,True,False
35,1380-970-0127,S310S089,1000151479,Weichai,Gen Set,,,2024-12-04,2,True,,,True,False
36,1387-970-0001,B3G,A4710963899,Mercedes-Benz,Truck 12.8 TD,OM471LA-Euro 5,2011,2024-12-04,2,True,,,True,False
37,1422-970-0001,S4T,OD32402,Paxman,,,2016-01,2024-12-04,2,True,,,True,False
38,1480-988-0001,S410WG047,164-9400,Caterpillar,Marine,3126,1999,2024-12-04,2,True,,,True,False
39,1483-970-0001,S3A,VG1560118227,CNHTC,Truck,615.46 Euro 2,,2024-12-04,2,True,,,True,False
40,1486-979-0001,S410,01009604990080,Mercedes-Benz,Industrial engine,OM502LA-Euromot 3a,2017-09,2024-12-04,2,True,,,True,False
41,1487-970-0001,S410,A009096699,Mercedes-Benz,Power Pack,OM460HLA,2006,2024-12-04,2,True,,,True,False
42,1496-970-0001,S410SX,,AirWerks Series,,,2014,2024-12-04,2,True,,,True,False
43,1496-988-0001,S410SX,,AirWerks Series,,,2014,2024-12-04,2,True,,,True,False
44,1500-970-0001,S500,04264301,Deutz,Industrial Engine,TCD2015V08 4V,2007,2024-12-04,2,True,,,True,False
45,1510-970-0001,S500W,15600360N,Baudouin,,,2011,2024-12-04,2,True,,,True,False
46,1527-988-0001,5HDR,E5AR131-133-2,N.N.,,,,2024-12-04,2,True,,,True,False
47,1630-970-0001,B01V,04B253019F,Audi / VW / Skoda / Seat,A1 / Polo / Fabia / Rapid / Ibiza / Toledo 1.4 TDI,CUSA / CUSB,2013,2024-12-04,2,True,,,True,False
48,1633-970-0001,B01G,04C145701F,Audi / VW / Skoda / Seat,A1/ A3 / Caddy/ Golf/ Load Up/ Polo / Fabia/ Karoq/ Octavia/ Rapid / Ateca/ Ibiza/ Leon 1.0 TSI,Gasoline,2013,2024-12-04,2,True,,,True,False
49,1640-970-0001,B01G,46335516,Fiat,Torro 1.33 GSE,Gasoline,2017,2024-12-04,2,True,,,True,False
50,1640-970-0009,B01G,B2000011620000616030436700032,Dong Feng,MAX / AX7 1.5T,DFM,,2024-12-04,2,True,,,True,False
51,166735,S2BW033,3800-698M800698A000150M16015,Navistar,Marine,Nav 7.3,1993,2024-12-04,2,True,,,True,False
52,170001,S300W049,157-4386,Caterpillar,Genset / Marine,3116 / 3126,1996,2024-12-04,2,True,,,True,False
53,1712000124,HP55,,,,,,2024-12-04,2,True,,,True,False
